facname,number,street,address,city,borough,latitude,longitude
OMH SUPPORT - HUD CITY WIDE BEDS,,,1775 GRAND CONCOURSE,BRONX,BRONX,40.84626,-73.90991
ENTERPRISE 87 CORP.,231,EAST 87 STREET,231 EAST 87 STREET,NEW YORK,MANHATTAN,40.77903833,-73.95187455
IS 70,,,333 17TH STREET,NEW YORK,MANHATTAN,40.7420833,-74.00204411
ST DOMINIC'S HOME - TORCH,2340,ANDREWS AVENUE,2340 ANDREWS AVENUE,BRONX,BRONX,40.86215795,-73.90634615
OCEAN HILL COLLEGIATE CHARTER SCHOOL,1137,HERKIMER STREET,1137 HERKIMER STREET,BROOKLYN,BROOKLYN,40.67806985,-73.91536699
ST CATHERINE GENOA-ST THERESE LISIEU,4410,AVENUE D,4410 AVENUE D,BROOKLYN,BROOKLYN,40.64152979,-73.93476011
"TRAFFIC - SIGNALS OPERATIONS, RED LIGHT CAMERA, TRAFFIC - PARKING, SIGNALS, STREETLIGHTING",34-02,QUEENS BOULEVARD,34-02 QUEENS BOULEVARD,LONG ISLAND CITY,QUEENS,40.74341853,-73.93051056
PONDEROSA GARDEN,664,EAST 105 STREET,664 EAST 105 STREET,BROOKLYN,BROOKLYN,40.64916105,-73.89691567
P.S./I.S. 83 DONALD HERTZ SCHOOL,950,RHINELANDER AVENUE,950 RHINELANDER AVENUE,BRONX,BRONX,40.84917966,-73.8588714
BMT ROW,,AVENUE Z,AVENUE Z,BROOKLYN,BROOKLYN,40.583191,-73.98008
NORTHERN MANHATTAN REHABILITATION AND NURSING CENTER,116,EAST 125 STREET,116 EAST 125 STREET,NEW YORK,MANHATTAN,40.80437237,-73.9384682
"ASOCIACIONES DOMINICANAS, INC",202,UNION AVENUE,202 UNION AVENUE,BROOKLYN,BROOKLYN,40.70628712,-73.95004924
THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,106-20,SHORE FRONT PARKWAY,106-20 SHORE FRONT PARKWAY,FAR ROCKAWAY,QUEENS,40.58137005,-73.82710826
UNITED CAREER CENTERS,22,WEST 34 STREET,22 WEST 34 STREET,NEW YORK,MANHATTAN,40.74888218,-73.98635229
MENTAL HEALTH PROVIDERS OF WESTERN QUEENS SMH CMA (AOT),61-20,WOODSIDE AVENUE,61-20 WOODSIDE AVENUE,WOODSIDE,QUEENS,40.74444442,-73.90281586
"AMERICAN BOLERO DANCE COMPANY, INC.",42-24,9 STREET,42-24 9 STREET,LONG ISLAND CITY,QUEENS,40.75318038,-73.9496803
POLICE ACADEMY,205-35,EAST 20 STREET,205-35 EAST 20 STREET,NEW YORK,MANHATTAN,40.736761,-73.983289
IMPARK 302 LLC,306,2 STREET,306 2 STREET,BROOKLYN,BROOKLYN,40.67398572,-73.98479098
P.S./I.S. 268,92-07,175 STREET,92-07 175 STREET,JAMAICA,QUEENS,40.70766543,-73.78520179
CORAL CAR PARK LLC,525,WEST 122 STREET,525 WEST 122 STREET,NEW YORK,MANHATTAN,40.8116364,-73.95966317
MARINE BATTLION/MARINE 6,,,BROOKLYN NAVY YARD BUILDING 292,BROOKLYN,BROOKLYN,40.702258,-73.972767
GOUVERNOR LANE,,,,NEW YORK,MANHATTAN,40.70446094,-74.00787956
INSTITUTE CENTER FOR COUNSELING AT WALTON AVENUE,1894,WALTON AVENUE,1894 WALTON AVENUE,BRONX,BRONX,40.84960404,-73.90902303
"VITAL THEATRE COMPANY, INC.",2162,BROADWAY,2162 BROADWAY,NEW YORK,MANHATTAN,40.781805,-73.98054216
RAIL FACILITY,,RICHMOND AVENUE,RICHMOND AVENUE,STATEN ISLAND,STATEN ISLAND,40.639031,-74.13189
UNDERHILL AVE PLAZA,,,,BROOKLYN,BROOKLYN,40.6806881,-73.96467113
JHS 99 04M099,,,410 100 STREET,NEW YORK,MANHATTAN,40.78568169,-73.94263982
"SCULPTURE CENTER, INC.",44-19,PURVES STREET,44-19 PURVES STREET,LONG ISLAND CITY,QUEENS,40.74692133,-73.94081427
SECRET CITY,,,378 MANHATTAN AVE,NEW YORK,MANHATTAN,40.804879,-73.956922
ST. VINCENT'S MENTAL HEALTH SERVICES,66,BOERUM PLACE,66 BOERUM PLACE,BROOKLYN,BROOKLYN,40.68968312,-73.99069243
I BEAR DAYCARE CENTER,33-15,154 STREET,33-15 154 STREET,FLUSHING,QUEENS,40.76805771,-73.81024415
THE LOWER E. SIDE GIRLS CLUB II,299,EAST 3 STREET,299 EAST 3 STREET,NEW YORK,MANHATTAN,40.72128508,-73.97923904
"STRIVE/EAST HARLEM EMPLOYMENT SERVICE, INC.",,,240 123RD S,NEW YORK,MANHATTAN,40.80163101,-73.93503557
GREENLUX PARKING LLC,300,NORTH END AVENUE,300 NORTH END AVENUE,NEW YORK,MANHATTAN,40.71660421,-74.01433359
CARDOZO PLAYGROUND,365,BEACH 56 STREET,365 BEACH 56 STREET,ARVERNE,QUEENS,40.59432801,-73.78671587
SEASONS OF VISION,9,ROCHESTER AVENUE,9 ROCHESTER AVENUE,BROOKLYN,BROOKLYN,40.6788069,-73.92708598
YOUTH ACHIEVING INDEPENDENCE,6581,HYLAN BOULEVARD,6581 HYLAN BOULEVARD,STATEN ISLAND,STATEN ISLAND,40.51218994,-74.22243431
FAILTE CARE CORPORATION,10-40,JACKSON AVENUE,10-40 JACKSON AVENUE,LONG ISLAND CITY,QUEENS,40.74208047,-73.95304025
YES PROGRAM,,,208 13TH STREET,NEW YORK,MANHATTAN,40.73793401,-74.0004413
"STREET SCIENCE AUTOMOTIVE, INC.",872,EAST 149 STREET,872 EAST 149 STREET,BRONX,BRONX,40.81116596,-73.90360641
P.S. 143 LOUIS ARMSTRONG,34-74,113 STREET,34-74 113 STREET,CORONA,QUEENS,40.75580074,-73.85596307
COMUNIDAD CON PROPOSITO TEXTILE DROP-OFF SITE,,,"4110 163RD STREET, FLUSHING, NY, USA",FLUSHING,QUEENS,40.761152,-73.803221
LINDOWER PARK,,,6120 EAST 60 PLACE,BROOKLYN,BROOKLYN,40.61210205,-73.91152113
NEW VISIONS AIM CHARTER HS I,1150,EAST NEW YORK AVENUE,1150 EAST NEW YORK AVENUE,BROOKLYN,BROOKLYN,40.66621736,-73.92387641
DOWNTOWN DAY CAMP,201,WARREN STREET,201 WARREN STREET,NEW YORK,MANHATTAN,40.71696875,-74.01379276
EAST FLATBUSH LIBRARY,9612,CHURCH AVENUE,9612 CHURCH AVENUE,BROOKLYN,BROOKLYN,40.65570449,-73.91493839
FERRIES - FERRY MAINTENANCE FACILITY,1,BAY STREET,1 BAY STREET,STATEN ISLAND,STATEN ISLAND,40.64414913,-74.07275973
COUNTEE CULLEN LIBRARY,104,WEST 136 STREET,104 WEST 136 STREET,NEW YORK,MANHATTAN,40.81475476,-73.9412049
SAN JOSE NURSERY,432,WEST 20 STREET,432 WEST 20 STREET,NEW YORK,MANHATTAN,40.74506586,-74.00437028
SE SCHENECTADY AVENUE & STERLING PLACE FOOD DROP-OFF SITE,,,,BROOKLYN,BROOKLYN,40.67155276,-73.93360522
BRIDGER TRANSITIONAL - NONMEDICAID CC,681,CLARKSON AVENUE,681 CLARKSON AVENUE,BROOKLYN,BROOKLYN,40.65660812,-73.9362368
3560 AMBOY RD TEXTILE DROP-OFF SITE,,,"3560 AMBOY RD, STATEN ISLAND, NY, USA",STATEN ISLAND,STATEN ISLAND,40.55478922,-74.14030248
165 E 77 ST. GARAGE CORP.,165,EAST 77 STREET,165 EAST 77 STREET,NEW YORK,MANHATTAN,40.77357518,-73.95909886
PROSPECT PLAZA PARK,,,1768 PARK PLACE,BROOKLYN,BROOKLYN,40.67121325,-73.91844318
BUSH TERMINAL,148-19,39 STREET,148-19 39 STREET,BROOKLYN,BROOKLYN,40.655177,-74.011893
550 WEST 45TH ST. GARAGE LLC,550,WEST 45 STREET,550 WEST 45 STREET,NEW YORK,MANHATTAN,40.76225713,-73.99664117
P.S. 092 HARRY T. STEWART SR.,99-01,34 AVENUE,99-01 34 AVENUE,CORONA,QUEENS,40.75601064,-73.86868311
A2Z HAPPYLAND II LLC.,2148,OCEAN AVENUE,2148 OCEAN AVENUE,BROOKLYN,BROOKLYN,40.60932779,-73.95371999
WEST SIDE COMMUNITY GARDEN FOOD DROP-OFF SITE,,,,NEW YORK,MANHATTAN,40.7895156,-73.9716111
GOLDEN GATE REHABILITATION & HEALTH CARE CENTER,191,BRADLEY AVENUE,191 BRADLEY AVENUE,STATEN ISLAND,STATEN ISLAND,40.60672816,-74.13131575
CFTSS: YOUTH PEER SUPPORT AND TRAINING,118-35,QUEENS BOULEVARD,118-35 QUEENS BOULEVARD,FOREST HILLS,QUEENS,40.71526804,-73.83061332
LATINO FILM MARKET INC,812,RIVERSIDE DRIVE,812 RIVERSIDE DRIVE,NEW YORK,MANHATTAN,40.83550116,-73.94521165
CANARSIE PARK,9006,SEAVIEW AVENUE,9006 SEAVIEW AVENUE,BROOKLYN,BROOKLYN,40.62896178,-73.89597212
556 STATE STREET LLC,556,STATE STREET,556 STATE STREET,BROOKLYN,BROOKLYN,40.68501587,-73.97891432
63-51 METROPOLITAN AVE TEXTILE DROP-OFF SITE,,,"63-51 METROPOLITAN AVE, FLUSHING, NY 11379, USA",MIDDLE VILLAGE,QUEENS,40.712816,-73.897402
WESTSIDE COMMUNITY GARDEN INC.,,,,NEW YORK,MANHATTAN,,
"ARTS & BUSINESS COUNCIL, INC.",1,EAST 53 STREET,1 EAST 53 STREET,NEW YORK,MANHATTAN,40.76037548,-73.97518754
"CINEMA CONSERVANCY, INC.",225,WEST 13 STREET,225 WEST 13 STREET,NEW YORK,MANHATTAN,40.73857119,-74.00126818
"STAGES OF LEARNING, INC.",,,C/O QTIP,BROOKLYN,BROOKLYN,,
MEREDITH WOODS,,,,STATEN ISLAND,STATEN ISLAND,40.59746551,-74.19512078
MT. SINAI ADULT TREATMENT PROGRAM,1249,FIFTH AVENUE,1249 FIFTH AVENUE,NEW YORK,MANHATTAN,40.79374717,-73.95096961
SATNAM STORES INC.,600,PELHAM PARKWAY SOUTH,600 PELHAM PARKWAY SOUTH,BRONX,BRONX,40.85639821,-73.8687941
AUBURNDALE PLAYGROUND,171-11,35 AVENUE,171-11 35 AVENUE,FLUSHING,QUEENS,40.7652153,-73.79432417
P.S. 66,845,EAST 96 STREET,845 EAST 96 STREET,BROOKLYN,BROOKLYN,40.64862017,-73.90685699
TRANSPORTATION FACILITY,,MARGINAL STREET,MARGINAL STREET,NEW YORK,MANHATTAN,40.821102,-73.960394
SEEING FOR OURSELVES INC,101,CLARK STREET,101 CLARK STREET,BROOKLYN,BROOKLYN,40.69763979,-73.99222462
MERRICK ACADEMY - QUEENS PUBLIC CHARTER SCHOOL,136-25,218 STREET,136-25 218 STREET,SPRINGFIELD GARDENS,QUEENS,40.67619027,-73.75299634
READY MONEY AUTOMOTIVE INC.,1476,SHERIDAN EXPRESSWAY,1476 SHERIDAN EXPRESSWAY,BRONX,BRONX,40.82898231,-73.8850277
HICKMAN PLAYGROUND,,,1420 EAST 67 STREET,BROOKLYN,BROOKLYN,40.62029973,-73.91299667
P.S. 129 JOHN H. FINLEY,425,WEST 130 STREET,425 WEST 130 STREET,NEW YORK,MANHATTAN,40.81497598,-73.95217501
NYCHA-JACKSON HOUSES,765,COURTLANDT AVENUE,765 COURTLANDT AVENUE,BRONX,BRONX,40.82171559,-73.91766491
"SUPERIOR DAY CARE, INC.",1741,BROADWAY,1741 BROADWAY,BROOKLYN,BROOKLYN,40.68313592,-73.91038583
ENGINE 34/LADDER 21,440,WEST 38 STREET,440 WEST 38 STREET,NEW YORK,MANHATTAN,40.75653813,-73.99650793
"ST. RAYMOND COMMUNITY OUTREACH, INC.",71,METROPOLITAN OVAL,71 METROPOLITAN OVAL,BRONX,BRONX,40.8377465,-73.86087401
ENGINE 28/LADDER 11,222,EAST 2 STREET,222 EAST 2 STREET,NEW YORK,MANHATTAN,40.72185329,-73.98252586
EFFECTIVE PARKING LLC,435,WEST 57 STREET,435 WEST 57 STREET,NEW YORK,MANHATTAN,40.76879426,-73.98712152
MOUNT SINAI COMPREHENSIVE HEALTH PROGRAM - DOWNTOWN,275,7 AVENUE,275 7 AVENUE,NEW YORK,MANHATTAN,40.74554928,-73.99415051
OPPORTUNITIES FOR A BETTER TOMORROW-NORTH,25,THORNTON STREET,25 THORNTON STREET,BROOKLYN,BROOKLYN,40.70118606,-73.9437199
BWSO QUEENS WATER/SEWER REPAIR YARD,106-36,180 STREET,106-36 180 STREET,JAMAICA,QUEENS,40.70287,-73.777797
SOUTH JAMAICA MULTI SERVICE CENTER,,,1,JAMAICA,QUEENS,40.67694526,-73.7753069
PARK KWIK LLC,60,WATER STREET,60 WATER STREET,BROOKLYN,BROOKLYN,40.70295563,-73.99207112
CENTER FOR BATTERED WOMEN,,,1406 WALL STREET STATION,NEW YORK,MANHATTAN,40.705453,-74.006956
ASTOR DAY TREATMENT PROGRAM - E. TREMONT,516,EAST TREMONT AVENUE,516 EAST TREMONT AVENUE,BRONX,BRONX,40.84648605,-73.89660433
ABRAHAM LINCOLN (K410),2800,OCEAN PARKWAY,2800 OCEAN PARKWAY,BROOKLYN,BROOKLYN,40.5823554,-73.96827847
CLINTON HILL,495,CLERMONT AVENUE,495 CLERMONT AVENUE,BROOKLYN,BROOKLYN,40.68260774,-73.96823888
CENTRAL REPAIR SHOP AND DISTRICT GARAGES,52-35,58 STREET,52-35 58 STREET,WOODSIDE,QUEENS,40.734042,-73.907891
OFFICE BLDG,42,BROADWAY,42 BROADWAY,NEW YORK,MANHATTAN,40.705988,-74.012595
"TLE AT QUEENS-LONG ISLAND CITY, LLC",27-28,THOMSON AVENUE,27-28 THOMSON AVENUE,LONG ISLAND CITY,QUEENS,40.74573269,-73.94179493
QUEENS LIBRARY ARVERNE,312,BEACH 54 STREET,312 BEACH 54 STREET,ARVERNE,QUEENS,40.59314455,-73.78403978
PPS 9201 LLC,9201,4 AVENUE,9201 4 AVENUE,BROOKLYN,BROOKLYN,40.61787675,-74.02985303
THE DOOR - A CENTER OF ALTERNATIVES,,,121 A,NEW YORK,MANHATTAN,40.724123,-74.005145
VACATION BIBLE SCHOOL,1589,WASHINGTON AVENUE,1589 WASHINGTON AVENUE,BRONX,BRONX,40.83969115,-73.90259232
"POLICE ATHLETIC LEAGUE, INC. - VULNERABLE YOUTH",,,34 1 2 EAST 12TH STREET,NEW YORK,MANHATTAN,40.73443412,-73.9940107
"NYP/QUEENS DEVELOPMENTAL DISABILITY, NEURO SCIENCE CENTER AND PEDIATRIC ASTHMA CENTER",59-16,174 STREET,59-16 174 STREET,FRESH MEADOWS,QUEENS,40.7398396,-73.79636936
ST. GEORGE PARK,,,,STATEN ISLAND,STATEN ISLAND,40.64454672,-74.07786525
NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES IV,100-00,BEACH CHANNEL DRIVE,100-00 BEACH CHANNEL DRIVE,FAR ROCKAWAY,QUEENS,40.58657371,-73.82359337
MARY BOBB LEARNING ACADEMY,1187,NOSTRAND AVENUE,1187 NOSTRAND AVENUE,BROOKLYN,BROOKLYN,40.65834334,-73.94980773
SHILOH CONSULTING,566,7 AVENUE,566 7 AVENUE,NEW YORK,MANHATTAN,40.75519401,-73.98796831
NYS DEPARTMENT OF LABOR LOWER MANHATTAN WORKFORCE1 CAREER CENTER,75,VARICK STREET,75 VARICK STREET,NEW YORK,MANHATTAN,40.72344239,-74.0068172
58TH STREET LIBRARY FOOD SCRAP DROP-OFF FOOD DROP-OFF SITE,127,EAST 58 STREET,127 EAST 58 STREET,NEW YORK,MANHATTAN,40.76223214,-73.96932375
BE'ER HAGOLAH,671,LOUISIANA AVENUE,671 LOUISIANA AVENUE,BROOKLYN,BROOKLYN,40.64592905,-73.88295537
PARK,,,,BRONX,BRONX,40.83431471,-73.86557181
ENG 43  LAD 59 - PARKING,1869,SEDGWICK AVENUE,1869 SEDGWICK AVENUE,BRONX,BRONX,40.854418,-73.916725
RIVERCROSS LAWN,,,,NEW YORK,MANHATTAN,40.76233,-73.949536
"AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES, INC.",225,BROADWAY,225 BROADWAY,NEW YORK,MANHATTAN,40.71199255,-74.00865261
SWISS INSTITUTE,117,SECOND AVENUE,117 SECOND AVENUE,NEW YORK,MANHATTAN,40.72799962,-73.98845821
PERFORMANCE PARKING LLC,127,AMSTERDAM AVENUE,127 AMSTERDAM AVENUE,NEW YORK,MANHATTAN,40.77419594,-73.9842286
ATLANTIC HOUSE TEXTILE DROP-OFF SITE,,,"2402 ATLANTIC AVENUE, BROOKLYN, NY, USA",BROOKLYN,BROOKLYN,40.675743,-73.905333
"FOCAL POINT PRESS, LTD.",321,CITY ISLAND AVENUE,321 CITY ISLAND AVENUE,BRONX,BRONX,40.84756078,-73.78685976
ST GREGORY THE GREAT CATHOLIC,244-44,87 AVENUE,244-44 87 AVENUE,BELLEROSE,QUEENS,40.72986753,-73.72141937
SAXE EMBROIDERY COMPANY BUILDING,,,,BRONX,BRONX,40.82584637,-73.90864896
SURROGATE COURT,31,CHAMBERS STREET,31 CHAMBERS STREET,NEW YORK,MANHATTAN,40.713594,-74.004242
OFFICE BLDG,16,COURT STREET,16 COURT STREET,BROOKLYN,BROOKLYN,40.693609,-73.990862
STAPLES ELECTRONICS DROP-OFF SITE,,,330-340 BAYCHESTER AVE,BRONX,BRONX,40.867479,-73.828649
NORELLI-HARGREAVES MEMORIAL TRIANGLE,,,,JAMAICA,QUEENS,40.69566808,-73.80537405
NEW 786 NY PARKING CORP,1880,BATHGATE AVENUE,1880 BATHGATE AVENUE,BRONX,BRONX,40.84613621,-73.89693609
AUTO TECH RECOVERY CORP,1600,STILLWELL AVENUE,1600 STILLWELL AVENUE,BRONX,BRONX,40.85503222,-73.84090744
LATOURETTE PARK & GOLF COURSE,1001,RICHMOND HILL ROAD,1001 RICHMOND HILL ROAD,STATEN ISLAND,STATEN ISLAND,40.57612143,-74.14682281
FLOYD BENNETT FIELD,5031,FLATBUSH AVENUE,5031 FLATBUSH AVENUE,BROOKLYN,BROOKLYN,40.595332,-73.889697
"SINGING WINDS, INC.",625,GREENWOOD AVENUE,625 GREENWOOD AVENUE,BROOKLYN,BROOKLYN,40.65192435,-73.975054
RED SHED GARDEN,266,SKILLMAN AVENUE,266 SKILLMAN AVENUE,BROOKLYN,BROOKLYN,40.71610249,-73.9402701
DANCES FOR A VARIABLE POPULATION,560,RIVERSIDE DRIVE,560 RIVERSIDE DRIVE,NEW YORK,MANHATTAN,40.81691287,-73.96036156
COMMUNITY AGENCY FOR SENIOR CITIZENS INC,56,BAY STREET,56 BAY STREET,STATEN ISLAND,STATEN ISLAND,40.6406961,-74.07601797
PAL AT AIDA LUZ ORTIZ,2131,VYSE AVENUE,2131 VYSE AVENUE,BRONX,BRONX,40.84494245,-73.87986097
SE 31ST AVENUE & 29TH STREET FOOD DROP-OFF SITE,,,,ASTORIA,QUEENS,40.76499499,-73.92496582
"NORTHEAST BRONX DAY CARE CENTER, INC.",1140,EAST 229 STREET,1140 EAST 229 STREET,BRONX,BRONX,40.88590128,-73.84527026
20/20 VISION FOR SCHOOLS,8225,5 AVENUE,8225 5 AVENUE,BROOKLYN,BROOKLYN,40.62356019,-74.02476766
DSNY SPECIAL WASTE DROP-OFF SITE,459,NORTH HENRY STREET,459 NORTH HENRY STREET,BROOKLYN,BROOKLYN,40.73494076,-73.94621714
GOODWILL SEAMARK PROS,261,SCHENECTADY AVENUE,261 SCHENECTADY AVENUE,BROOKLYN,BROOKLYN,40.6696623,-73.93354003
500 RIDGEWOOD AVE TEXTILE DROP-OFF SITE,,,"500 RIDGEWOOD AVENUE, BROOKLYN, NY, USA",BROOKLYN,BROOKLYN,40.68573,-73.870394
CHILDREN'S NON-MEDICAID CARE COORDINATION,118-35,QUEENS BOULEVARD,118-35 QUEENS BOULEVARD,FOREST HILLS,QUEENS,40.71526804,-73.83061332
MANOR PARK,,,,STATEN ISLAND,STATEN ISLAND,40.58870248,-74.12699268
MARINERS HARBOR LIBRARY,206,SOUTH AVENUE,206 SOUTH AVENUE,STATEN ISLAND,STATEN ISLAND,40.63467969,-74.16660892
JHS 126 - JOHN ERICSSON,424,LEONARD STREET,424 LEONARD STREET,BROOKLYN,BROOKLYN,40.71967167,-73.94802515
MP 126 LLC,163,EAST 125 STREET,163 EAST 125 STREET,NEW YORK,MANHATTAN,40.80433785,-73.93648635
"LEXINGTON CHILDREN'S CENTER, INC.",115,EAST 98 STREET,115 EAST 98 STREET,NEW YORK,MANHATTAN,40.78801262,-73.95078983
ST SAVIOUR HIGH SCHOOL,588,6 STREET,588 6 STREET,BROOKLYN,BROOKLYN,40.6670409,-73.977124
ENG 59  LAD 30 - PARKING,109,WEST 133 STREET,109 WEST 133 STREET,NEW YORK,MANHATTAN,40.813266,-73.942296
HEALTHY CHOICES,153A,JOHNSON AVENUE,153A JOHNSON AVENUE,BROOKLYN,BROOKLYN,40.70662362,-73.94414578
SEPHARDIC BIKUR HOLIM CLINIC,1955,MCDONALD AVENUE,1955 MCDONALD AVENUE,BROOKLYN,BROOKLYN,40.60503453,-73.9719118
BRIDGES - PM **CURRENTLY OCCUPIED BY SKANSKA FOR BB REPAIR PROJECT**,125,CADMAN PLAZA EAST,125 CADMAN PLAZA EAST,BROOKLYN,BROOKLYN,40.70004511,-73.98906451
GREENBELT NATIVE PLANT CENTER,3808,VICTORY BOULEVARD,3808 VICTORY BOULEVARD,STATEN ISLAND,STATEN ISLAND,40.59652227,-74.18220718
452 10TH AVENUE PARKING CORP.,462,10 AVENUE,462 10 AVENUE,NEW YORK,MANHATTAN,40.75558038,-73.99801974
OFFICES,123-33,WILLIAM STREET,123-33 WILLIAM STREET,NEW YORK,MANHATTAN,40.709323,-74.007142
EVA CRECHE DAYCARE,425,ROGERS AVENUE,425 ROGERS AVENUE,BROOKLYN,BROOKLYN,40.662354,-73.95343851
PUBLIC SCHOOL 17,,,,BRONX,BRONX,40.84712151,-73.78435805
QUEENS COMMUNITY HOUSE INC.,93-29,QUEENS BOULEVARD,93-29 QUEENS BOULEVARD,REGO PARK,QUEENS,40.73180427,-73.86551323
ASSOCIATION TO BENEFIT CHILDREN,316,EAST 88 STREET,316 EAST 88 STREET,NEW YORK,MANHATTAN,40.77844419,-73.94975034
DOUGHBOYS RECOVERY & STORAGE INC,2619,CHESBROUGH AVENUE,2619 CHESBROUGH AVENUE,BRONX,BRONX,40.84448835,-73.84516183
CARDINAL MCCLOSKEY COMMUNITY SERVICES,1926,LONGFELLOW AVENUE,1926 LONGFELLOW AVENUE,BRONX,BRONX,40.83940843,-73.88142726
P.S. 003 THE BEDFORD VILLAGE,50,JEFFERSON AVENUE,50 JEFFERSON AVENUE,BROOKLYN,BROOKLYN,40.68238306,-73.95529904
JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,2600,OCEAN AVENUE,2600 OCEAN AVENUE,BROOKLYN,BROOKLYN,40.5980202,-73.95151123
FISHER POOL,32-23,99 STREET,32-23 99 STREET,EAST ELMHURST,QUEENS,40.75847489,-73.86958498
RICHMOND UNIVERSITY MEDICAL CENTER CPEP,355,BARD AVENUE,355 BARD AVENUE,STATEN ISLAND,STATEN ISLAND,40.63570748,-74.10590224
SCHOOL IN THE SQUARE PUBLIC CHARTER SCHOOL,120,WADSWORTH AVENUE,120 WADSWORTH AVENUE,NEW YORK,MANHATTAN,40.84878412,-73.9361578
CHINESE AMERICAN PLANNING COUNCIL,4101,8 AVENUE,4101 8 AVENUE,BROOKLYN,BROOKLYN,40.6458949,-73.99832695
PUBLIC SCHOOL 80 - THE MICHAEL J. PETRIDES SCHOOL,715,OCEAN TERRACE,715 OCEAN TERRACE,STATEN ISLAND,STATEN ISLAND,40.60828806,-74.10203655
CONSUMER SELF HELP - MICA - REAL RECOVERY,55,WESTCHESTER SQUARE,55 WESTCHESTER SQUARE,BRONX,BRONX,40.84163559,-73.84304373
HEISSER TRIANGLE,1424,MYRTLE AVENUE,1424 MYRTLE AVENUE,BROOKLYN,BROOKLYN,40.69873166,-73.91790189
SOTOMAYOR HOUSES,1000,ROSEDALE AVENUE,1000 ROSEDALE AVENUE,BRONX,BRONX,40.82556541,-73.86718241
NEW DAWN CHARTER HIGH SCHOOL,242,HOYT STREET,242 HOYT STREET,BROOKLYN,BROOKLYN,40.68300112,-73.99049459
YOUTH VILLAGE,705,HOME STREET,705 HOME STREET,BRONX,BRONX,40.82870413,-73.90292757
BRIARWOOD,85-12,MAIN STREET,85-12 MAIN STREET,JAMAICA,QUEENS,40.71003362,-73.81945746
TALMUD TORAH OHEL YOCHANAN,1325,38 STREET,1325 38 STREET,BROOKLYN,BROOKLYN,40.64078234,-73.98448009
TSNY COUNSELING AND CRISIS CENTER,90-27,SUTPHIN BOULEVARD,90-27 SUTPHIN BOULEVARD,JAMAICA,QUEENS,40.70243709,-73.80782569
PS 83 MENDOZA SCHOOL,219,EAST 109 STREET,219 EAST 109 STREET,NEW YORK,MANHATTAN,40.7932112,-73.94202985
ENGINE 218,650,HART STREET,650 HART STREET,BROOKLYN,BROOKLYN,40.69831647,-73.92659655
BISMILLAH QUICK TOWING & RECOVERY INC.,266,42 STREET,266 42 STREET,BROOKLYN,BROOKLYN,40.65241749,-74.01081652
PIER 107 CVII,,,500-501 E. 107 STREET,NEW YORK,MANHATTAN,40.78907193,-73.93664648
FRONTLINE AUTOMOTIVE 1 INC,1518,ATLANTIC AVENUE,1518 ATLANTIC AVENUE,BROOKLYN,BROOKLYN,40.67774638,-73.94104318
P.S. 170 LEXINGTON SCHOOL,7109,6 AVENUE,7109 6 AVENUE,BROOKLYN,BROOKLYN,40.63033707,-74.01872007
P75Q AT P239 ANNEX PREK SPECIAL ED,869,CYPRESS AVENUE,869 CYPRESS AVENUE,RIDGEWOOD,QUEENS,40.6996864,-73.90500065
THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,,,86 25 FRANCIS LEWIS BOULEVARD,QUEENS VILLAGE,QUEENS,,
CAREER CONNECTIONS @ LAGUARDIA CC,29-10,THOMSON AVENUE,29-10 THOMSON AVENUE,LONG ISLAND CITY,QUEENS,40.74430553,-73.93789749
RETINAL AMBULATORY SURGERY CENTER OF NEW YORK INC,,,138140 EAST 80TH STREET,NEW YORK,MANHATTAN,40.775749,-73.958801
ALC AT SULPHIN ACADEMY,90-01,SUTPHIN BOULEVARD,90-01 SUTPHIN BOULEVARD,JAMAICA,QUEENS,40.70283312,-73.80799831
FULTON PARK,70,CHAUNCEY STREET,70 CHAUNCEY STREET,BROOKLYN,BROOKLYN,40.67978377,-73.93161412
STATEN ISLAND UNIVERSITY HOSPITAL,475,SEAVIEW AVENUE,475 SEAVIEW AVENUE,STATEN ISLAND,STATEN ISLAND,40.58475966,-74.08604676
CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,168-01,HILLSIDE AVENUE,168-01 HILLSIDE AVENUE,JAMAICA,QUEENS,40.71035941,-73.79460528
BRONX CHILDREN'S MUSEUM,,,,BRONX,BRONX,,
EMPIRE RECYCLING - MORGAN AVE,120,HAUSMAN STREET,120 HAUSMAN STREET,BROOKLYN,BROOKLYN,40.72786878,-73.93875179
ST. MARK'S GARDEN,415,EAST 117 STREET,415 EAST 117 STREET,NEW YORK,MANHATTAN,40.79656271,-73.93404387
C4 CHORAL COMPOSER CONDUCTOR COLLECTIVE,500,WEST 52 STREET,500 WEST 52 STREET,NEW YORK,MANHATTAN,40.76594704,-73.99138269
ACHIEVEMENT FIRST ENDEAVOR CS,510,WAVERLY AVENUE,510 WAVERLY AVENUE,BROOKLYN,BROOKLYN,40.68240204,-73.96594484
